source,target,weight
18,107,15172.204521316948
106,107,3916.960438699569
108,107,9149.130832570905
18,108,9259.25925925926
105,108,20768.431983385257
107,108,9149.130832570905
16,109,1495.2153110047848
18,109,23266.635644485807
96,109,957.8544061302682
283,110,4430.660168365086
305,110,11027.790030877812
306,110,4273.504273504273
0,111,0.016633399866932803
18,111,5903.18772136954
112,111,6402.048655569783
0,112,0.007955449482895784
18,112,4125.412541254125
111,112,6402.048655569783
215,113,1371.3658804168952
216,113,1108.8933244621867
243,113,26567.48140276302
0,114,0.007524454477050414
11,114,1941.3706076490002
17,114,3835.8266206367475
31,115,68306.01092896174
104,116,5991.611743559018
105,116,7194.244604316547
106,116,12269.938650306749
15,117,40469.445568595715
53,118,3185.727938834024
119,118,1447.8065730418416
121,118,3954.132068011071
0,119,0.008532423208191127
118,119,1447.8065730418416
126,119,11071.744906997343
62,120,788.6435331230284
72,120,1736.714136853074
84,120,1341.741580571582
8,121,721.5007215007215
118,121,3954.132068011071
122,121,11999.040076793857
121,122,11999.040076793857
123,122,5047.955577990914
152,122,2712.9679869777538
122,123,5047.955577990914
145,123,3895.597974289053
148,123,14558.159848595138
30,124,23025.558369790466
10,125,10509.721492380453
126,125,3789.31413414172
148,125,16035.920461834508
0,126,0.0088339222614841
119,126,11071.744906997343
125,126,3789.31413414172
0,127,0.008090614886731393
10,127,17708.517797060387
128,127,23463.16283435007
10,128,17528.483786152497
127,128,23463.16283435007
